
INPUT SETTINGS

RUN 1
coverage: '30'
dataset_name: vlrd_normalNoise_snp_indels_varRate0.005_250bp
num_runs: 1
outdir: /mnt/archive/sim_data/dSim
pipeline_name: VLRD
read_len: 250
reference: hs37d5
shared_dir: /staging/tmp
target_chrs: '1'
target_region_bed: /mnt/archive/varunj/MRJD_BedFiles/hs37d5_sorted.SegDupTable.txt
useIndelErrors: 0
varrate: 0.005
workdir: /staging/dSim

RUN 2
coverage: '40'
dataset_name: vlrd_normalNoise_snp_indels_varRate0.005_200bp
num_runs: 1
outdir: /mnt/archive/sim_data/dSim
pipeline_name: VLRD
read_len: 200
reference: hs37d5
shared_dir: /staging/tmp
target_chrs: '1'
target_region_bed: /mnt/archive/varunj/MRJD_BedFiles/hs37d5_sorted.SegDupTable.txt
truth_set_vcf: /mnt/archive/sim_data/dSim/vlrd_normalNoise_snp_indels_varRate0.005_250bp/VLRD_VCF/norm_merged_truth.vcf.gz
useIndelErrors: 0
varrate: 0.005
workdir: /staging/dSim

RUN 3
coverage: '40'
dataset_name: vlrd_normalNoise_snp_indels_varRate0.005_150bp
num_runs: 1
outdir: /mnt/archive/sim_data/dSim
pipeline_name: VLRD
read_len: 150
reference: hs37d5
shared_dir: /staging/tmp
target_chrs: '1'
target_region_bed: /mnt/archive/varunj/MRJD_BedFiles/hs37d5_sorted.SegDupTable.txt
truth_set_vcf: /mnt/archive/sim_data/dSim/vlrd_normalNoise_snp_indels_varRate0.005_250bp/VLRD_VCF/norm_merged_truth.vcf.gz
useIndelErrors: 0
varrate: 0.005
workdir: /staging/dSim

RUN 4
coverage: '40'
dataset_name: vlrd_normalNoise_snp_indels_varRate0.005_100bp
num_runs: 1
outdir: /mnt/archive/sim_data/dSim
pipeline_name: VLRD
read_len: 100
reference: hs37d5
shared_dir: /staging/tmp
target_chrs: '1'
target_region_bed: /mnt/archive/varunj/MRJD_BedFiles/hs37d5_sorted.SegDupTable.txt
truth_set_vcf: /mnt/archive/sim_data/dSim/vlrd_normalNoise_snp_indels_varRate0.005_250bp/VLRD_VCF/norm_merged_truth.vcf.gz
useIndelErrors: 0
varrate: 0.005
workdir: /staging/dSim

RUN 5
coverage: '40'
dataset_name: vlrd_normalNoise_snp_indels_varRate0.005_50bp
num_runs: 1
outdir: /mnt/archive/sim_data/dSim
pipeline_name: VLRD
read_len: 50
reference: hs37d5
shared_dir: /staging/tmp
target_chrs: '1'
target_region_bed: /mnt/archive/varunj/MRJD_BedFiles/hs37d5_sorted.SegDupTable.txt
truth_set_vcf: /mnt/archive/sim_data/dSim/vlrd_normalNoise_snp_indels_varRate0.005_250bp/VLRD_VCF/norm_merged_truth.vcf.gz
useIndelErrors: 0
varrate: 0.005
workdir: /staging/dSim

RUN 6
coverage: '30'
dataset_name: vlrd_normalNoise_snp_indels_varRate0.005_250bp_whg
num_runs: 0
outdir: /mnt/archive/sim_data/dSim
pipeline_name: VLRD
read_len: 250
reference: hs37d5
shared_dir: /staging/tmp
target_chrs: ''
target_region_bed: /mnt/archive/varunj/MRJD_BedFiles/hs37d5_sorted.SegDupTable.txt
truth_set_vcf: /mnt/archive/sim_data/dSim/vlrd_normalNoise_snp_indels_varRate0.005_250bp/VLRD_VCF/norm_merged_truth.vcf.gz
useIndelErrors: 0
varrate: 0.005
workdir: /staging/dSim

RUN 7
coverage: '40'
dataset_name: vlrd_normalNoise_snp_indels_varRate0.005_200bp_whg
num_runs: 0
outdir: /mnt/archive/sim_data/dSim
pipeline_name: VLRD
read_len: 200
reference: hs37d5
shared_dir: /staging/tmp
target_chrs: ''
target_region_bed: /mnt/archive/varunj/MRJD_BedFiles/hs37d5_sorted.SegDupTable.txt
truth_set_vcf: /mnt/archive/sim_data/dSim/vlrd_normalNoise_snp_indels_varRate0.005_250bp/VLRD_VCF/norm_merged_truth.vcf.gz
useIndelErrors: 0
varrate: 0.005
workdir: /staging/dSim

RUN 8
coverage: '40'
dataset_name: vlrd_normalNoise_snp_indels_varRate0.005_150bp_whg
num_runs: 0
outdir: /mnt/archive/sim_data/dSim
pipeline_name: VLRD
read_len: 150
reference: hs37d5
shared_dir: /staging/tmp
target_chrs: '0'
target_region_bed: /mnt/archive/varunj/MRJD_BedFiles/hs37d5_sorted.SegDupTable.txt
truth_set_vcf: /mnt/archive/sim_data/dSim/vlrd_normalNoise_snp_indels_varRate0.005_250bp/VLRD_VCF/norm_merged_truth.vcf.gz
useIndelErrors: 0
varrate: 0.005
workdir: /staging/dSim

RUN 9
coverage: '40'
dataset_name: vlrd_normalNoise_snp_indels_varRate0.005_100bp_whg
num_runs: 0
outdir: /mnt/archive/sim_data/dSim
pipeline_name: VLRD
read_len: 100
reference: hs37d5
shared_dir: /staging/tmp
target_chrs: ''
target_region_bed: /mnt/archive/varunj/MRJD_BedFiles/hs37d5_sorted.SegDupTable.txt
truth_set_vcf: /mnt/archive/sim_data/dSim/vlrd_normalNoise_snp_indels_varRate0.005_250bp/VLRD_VCF/norm_merged_truth.vcf.gz
